Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Semgrep Autotriage Result,Semgrep Autotriage Reason,Ai Impact,Ai Exploit Conditions,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
772975427,javascript.express.file.fs-express.fs-express,Code,High,Open,High,security,False,,,,,,Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop/blob/4139a35c8d53cfd53817ec71578e2252ffd56f05/src/app/api/assets/route.ts#L22,https://semgrep.dev/findings/REDACTED-772975427,2026-05-02 18:47:55.482800,2026-05-02 18:47:55.472325,refs/heads/main,,,,"The application builds a file path from potentially untrusted data, which can lead to a path traversal vulnerability. An attacker can manipulate the path which the application uses to access files. If the application does not validate user input and sanitize file paths, sensitive files such as configuration or user data can be accessed, potentially creating or overwriting files. To prevent this vulnerability, validate and sanitize any input that is used to create references to file paths. Also, enforce strict file access controls. For example, choose privileges allowing public-facing applications to access only the required files."
772975426,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,Code,Medium,Open,Low,security,True,,,,,User Authentication,Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop/blob/4139a35c8d53cfd53817ec71578e2252ffd56f05/src/app/api/books/import/route.ts#L19,https://semgrep.dev/findings/REDACTED-772975426,2026-05-02 18:47:55.482783,2026-05-02 18:47:55.472319,refs/heads/main,,,,"RegExp() called with a `request` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread. For this reason, it is recommended to use hardcoded regexes instead. If your regex is run on user-controlled input, consider performing input validation or use a regex checking/sanitization library such as https://www.npmjs.com/package/recheck to verify that the regex does not appear vulnerable to ReDoS."
772975425,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,Code,Medium,Open,Low,security,False,,,,,User Authentication,Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop/blob/4139a35c8d53cfd53817ec71578e2252ffd56f05/src/app/api/books/import/route.ts#L19,https://semgrep.dev/findings/REDACTED-772975425,2026-05-02 18:47:55.482767,2026-05-02 18:47:55.472314,refs/heads/main,,,,"RegExp() called with a `xmlContent` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread. For this reason, it is recommended to use hardcoded regexes instead. If your regex is run on user-controlled input, consider performing input validation or use a regex checking/sanitization library such as https://www.npmjs.com/package/recheck to verify that the regex does not appear vulnerable to ReDoS."
772975424,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,Code,Medium,Open,Low,security,False,,,,,User Authentication,Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop/blob/4139a35c8d53cfd53817ec71578e2252ffd56f05/src/app/api/books/import/route.ts#L23,https://semgrep.dev/findings/REDACTED-772975424,2026-05-02 18:47:55.482750,2026-05-02 18:47:55.472307,refs/heads/main,,,,"RegExp() called with a `tag` function argument, this might allow an attacker to cause a Regular Expression Denial-of-Service (ReDoS) within your application as RegExP blocks the main thread. For this reason, it is recommended to use hardcoded regexes instead. If your regex is run on user-controlled input, consider performing input validation or use a regex checking/sanitization library such as https://www.npmjs.com/package/recheck to verify that the regex does not appear vulnerable to ReDoS."
772975423,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,Code,Medium,Open,Low,security,False,,,,,User Authentication,Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop/blob/4139a35c8d53cfd53817ec71578e2252ffd56f05/src/app/api/admin/export/route.ts#L34,https://semgrep.dev/findings/REDACTED-772975423,2026-05-02 18:47:55.482733,2026-05-02 18:47:55.472302,refs/heads/main,,,,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first."
772975422,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,Code,Medium,Open,Low,security,False,,,,,Observability,Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop/blob/4139a35c8d53cfd53817ec71578e2252ffd56f05/src/app/api/admin/logs/route.ts#L23,https://semgrep.dev/findings/REDACTED-772975422,2026-05-02 18:47:55.482716,2026-05-02 18:47:55.472296,refs/heads/main,,,,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first."
772975421,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,Code,Medium,Open,Low,security,False,,,,,Observability,Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop/blob/4139a35c8d53cfd53817ec71578e2252ffd56f05/src/app/api/admin/logs/route.ts#L27,https://semgrep.dev/findings/REDACTED-772975421,2026-05-02 18:47:55.482699,2026-05-02 18:47:55.472291,refs/heads/main,,,,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first."
772975420,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,Code,Medium,Open,Low,security,False,,,,,Observability,Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop/blob/4139a35c8d53cfd53817ec71578e2252ffd56f05/src/app/api/admin/logs/route.ts#L27,https://semgrep.dev/findings/REDACTED-772975420,2026-05-02 18:47:55.482682,2026-05-02 18:47:55.472284,refs/heads/main,,,,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first."
772975419,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,Code,Medium,Open,Low,security,False,,,,,Observability,Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop/blob/4139a35c8d53cfd53817ec71578e2252ffd56f05/src/app/api/admin/logs/route.ts#L33,https://semgrep.dev/findings/REDACTED-772975419,2026-05-02 18:47:55.482665,2026-05-02 18:47:55.472277,refs/heads/main,,,,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first."
772975418,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,Code,Medium,Open,Low,security,False,,,,,Observability,Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop/blob/4139a35c8d53cfd53817ec71578e2252ffd56f05/src/app/api/admin/logs/route.ts#L33,https://semgrep.dev/findings/REDACTED-772975418,2026-05-02 18:47:55.482648,2026-05-02 18:47:55.472270,refs/heads/main,,,,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first."
772975417,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,Code,Medium,Open,Low,security,False,,,,,,Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop/blob/4139a35c8d53cfd53817ec71578e2252ffd56f05/src/app/api/assets/route.ts#L16,https://semgrep.dev/findings/REDACTED-772975417,2026-05-02 18:47:55.482630,2026-05-02 18:47:55.472260,refs/heads/main,,,,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first."
772975416,javascript.lang.security.audit.path-traversal.path-join-resolve-traversal.path-join-resolve-traversal,Code,Medium,Open,Low,security,False,,,,,,Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop,https://github.com/Agent-AI-Chalmers/book_shop/blob/4139a35c8d53cfd53817ec71578e2252ffd56f05/src/app/api/users/avatar/route.ts#L33,https://semgrep.dev/findings/REDACTED-772975416,2026-05-02 18:47:55.482588,2026-05-02 18:47:55.472227,refs/heads/main,,,,"Detected possible user input going into a `path.join` or `path.resolve` function. This could possibly lead to a path traversal vulnerability,  where the attacker can access arbitrary files stored in the file system. Instead, be sure to sanitize or validate user input first."
