Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Semgrep Autotriage Result,Semgrep Autotriage Reason,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
772939744,go.gin.command-injection.gin-command-injection.gin-command-injection-taint,Code,High,Open,High,security,False,,,,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/backend/utils/utils.go#L22,https://semgrep.dev/findings/REDACTED-772939744,2026-05-02 16:08:03.979814,2026-05-02 16:08:02.083935,refs/heads/main,,,,"Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the input, and use safe methods for executing the commands. In Go, it is possible to use the `exec.Command` function in combination with the `bash -c` command to run the user input as a shell command. To sanitize the user input, you can use a library like `shellescape` to escape any special characters before constructing the command. For more information, see: [Go command injection prevention] (https://semgrep.dev/docs/cheat-sheets/go-command-injection/)"
772939743,go.gin.ssrf.gin-tainted-url-host.gin-tainted-url-host,Code,High,Open,High,security,False,,,,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/backend/handlers/posts.go#L238,https://semgrep.dev/findings/REDACTED-772939743,2026-05-02 16:08:03.979797,2026-05-02 16:08:02.083929,refs/heads/main,,,,"Untrusted input might be used to build an HTTP request, which can lead to a Server-side request forgery (SSRF) vulnerability. SSRF allows an attacker to send crafted requests from the server side to other internal or external systems. SSRF can lead to unauthorized access to sensitive data and, in some cases, allow the attacker to control applications or systems that trust the vulnerable service. To prevent this vulnerability, avoid allowing user input to craft the base request. Instead, treat it as part of the path or query parameter and encode it appropriately. When user input is necessary to prepare the HTTP request, perform strict input validation. Additionally, whenever possible, use allowlists to only interact with expected, trusted domains."
772939742,go.lang.security.audit.dangerous-exec-command.dangerous-exec-command,Code,High,Open,Low,security,False,,,,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/backend/utils/utils.go#L22,https://semgrep.dev/findings/REDACTED-772939742,2026-05-02 16:08:03.979780,2026-05-02 16:08:02.083923,refs/heads/main,,,,"Detected non-static command inside Command. Audit the input to 'exec.Command'. If unverified user data can reach this call site, this is a code injection vulnerability. A malicious actor can inject a malicious script to execute arbitrary code."
772939741,go.lang.security.audit.database.string-formatted-query.string-formatted-query,Code,Medium,Open,Low,security,False,,,User Authentication,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/backend/handlers/auth.go#L60,https://semgrep.dev/findings/REDACTED-772939741,2026-05-02 16:08:03.979763,2026-05-02 16:08:02.083918,refs/heads/main,,,,String-formatted SQL query detected. This could lead to SQL injection if the string is not sanitized properly. Audit this call to ensure the SQL is not manipulable by external data.
772939740,go.lang.security.audit.database.string-formatted-query.string-formatted-query,Code,Medium,Open,Low,security,False,,,,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/backend/handlers/posts.go#L25,https://semgrep.dev/findings/REDACTED-772939740,2026-05-02 16:08:03.979746,2026-05-02 16:08:02.083912,refs/heads/main,,,,String-formatted SQL query detected. This could lead to SQL injection if the string is not sanitized properly. Audit this call to ensure the SQL is not manipulable by external data.
772939739,go.lang.security.audit.database.string-formatted-query.string-formatted-query,Code,Medium,Open,Low,security,False,,,,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/backend/handlers/posts.go#L30,https://semgrep.dev/findings/REDACTED-772939739,2026-05-02 16:08:03.979729,2026-05-02 16:08:02.083906,refs/heads/main,,,,String-formatted SQL query detected. This could lead to SQL injection if the string is not sanitized properly. Audit this call to ensure the SQL is not manipulable by external data.
772939738,go.lang.security.audit.database.string-formatted-query.string-formatted-query,Code,Medium,Open,Low,security,False,,,,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/backend/handlers/posts.go#L67,https://semgrep.dev/findings/REDACTED-772939738,2026-05-02 16:08:03.979712,2026-05-02 16:08:02.083899,refs/heads/main,,,,String-formatted SQL query detected. This could lead to SQL injection if the string is not sanitized properly. Audit this call to ensure the SQL is not manipulable by external data.
772939737,typescript.react.react-dangerouslysetinnerhtml-url.react-dangerouslysetinnerhtml-url,Code,Medium,Open,High,security,False,,,,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/frontend/src/pages/Home.jsx#L57,https://semgrep.dev/findings/REDACTED-772939737,2026-05-02 16:08:03.979694,2026-05-02 16:08:02.083892,refs/heads/main,,,,"Untrusted input could be used to tamper with a web page rendering, which can lead to a Cross-site scripting (XSS) vulnerability. XSS vulnerabilities occur when untrusted input executes malicious JavaScript code, leading to issues such as account compromise and sensitive information leakage. Validate the user input, perform contextual output encoding, or sanitize the input. If you have to use dangerouslySetInnerHTML, consider using a sanitization library such as DOMPurify to sanitize the HTML within."
772939736,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,Code,Medium,Open,Medium,security,False,,,,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/frontend/src/components/Comment.jsx#L48,https://semgrep.dev/findings/REDACTED-772939736,2026-05-02 16:08:03.979674,2026-05-02 16:08:02.083883,refs/heads/main,,,,"Detection of dangerouslySetInnerHTML from non-constant definition. This can inadvertently expose users to cross-site scripting (XSS) attacks if this comes from user-provided input. If you have to use dangerouslySetInnerHTML, consider using a sanitization library such as DOMPurify to sanitize your HTML."
772939735,typescript.react.security.audit.react-dangerouslysetinnerhtml.react-dangerouslysetinnerhtml,Code,Medium,Open,Medium,security,False,,,,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/frontend/src/components/PostCard.jsx#L64,https://semgrep.dev/findings/REDACTED-772939735,2026-05-02 16:08:03.979622,2026-05-02 16:08:02.083849,refs/heads/main,,,,"Detection of dangerouslySetInnerHTML from non-constant definition. This can inadvertently expose users to cross-site scripting (XSS) attacks if this comes from user-provided input. If you have to use dangerouslySetInnerHTML, consider using a sanitization library such as DOMPurify to sanitize your HTML."
