Id,Rule Name,Product,Severity,Status,Dependency,Version,Reachability,Transitivity,Cve,Epss,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
772939754,Uncontrolled Resource Consumption in golang.org/x/net,Supply Chain,High,Open,golang.org/x/net,0.16.0,Always Reachable,Transitive,CVE-2023-39325,0.16% (Low),,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/backend/go.mod#L38,https://semgrep.dev/findings/REDACTED-772939754,2026-05-02 16:08:06.840575,2026-05-02 16:08:06.827306,refs/heads/main,,,,"Affected versions of golang.org/x/net are vulnerable to Uncontrolled Resource Consumption. The HTTP/2 vulnerability occurs when a malicious client rapidly creates and resets requests, causing excessive server resource consumption. Despite the MaxConcurrentStreams setting limiting the total requests, resetting an ongoing request enables the attacker to initiate a new request concurrently."
772939753,Uncontrolled Resource Consumption in golang.org/x/net,Supply Chain,Medium,Open,golang.org/x/net,0.16.0,Reachable,Transitive,CVE-2023-45288,64.85% (High),,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/backend/handlers/posts.go#L238,https://semgrep.dev/findings/REDACTED-772939753,2026-05-02 16:08:06.840559,2026-05-02 16:08:06.827294,refs/heads/main,,,,"Affected versions of golang.org/x/net, golang.org/x/net/http2, and net/http are vulnerable to Uncontrolled Resource Consumption. An attacker may cause an HTTP/2 endpoint to read arbitrary amounts of header data by sending an excessive number of CONTINUATION frames."
772939752,Uncontrolled Resource Consumption in golang.org/x/net,Supply Chain,Medium,Open,golang.org/x/net,0.16.0,No Reachability Analysis,Transitive,CVE-2023-44487,94.4% (High),,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/backend/go.mod#L38,https://semgrep.dev/findings/REDACTED-772939752,2026-05-02 16:08:06.840542,2026-05-02 16:08:06.827282,refs/heads/main,,,,Affected versions of golang.org/x/net are vulnerable to Uncontrolled Resource Consumption.
772939751,Infinite Loop in google.golang.org/protobuf,Supply Chain,Medium,Open,google.golang.org/protobuf,1.31.0,No Reachability Analysis,Transitive,CVE-2024-24786,0.4% (Low),,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/backend/go.mod#L42,https://semgrep.dev/findings/REDACTED-772939751,2026-05-02 16:08:06.840525,2026-05-02 16:08:06.827268,refs/heads/main,,,,"Affected versions of google.golang.org/protobuf, google.golang.org/protobuf/encoding/protojson, and google.golang.org/protobuf/internal/encoding/json are vulnerable to Loop with Unreachable Exit Condition ('Infinite Loop')."
772939750,Origin Validation Error in esbuild,Supply Chain,Medium,Open,esbuild,0.21.5,No Reachability Analysis,Transitive,GHSA-67mh-4wv8-2f99,0.0% (Low),,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/frontend/package-lock.json#L1322,https://semgrep.dev/findings/REDACTED-772939750,2026-05-02 16:08:06.840508,2026-05-02 16:08:06.827251,refs/heads/main,,,,Affected versions of esbuild are vulnerable to Origin Validation Error.
772939749,Misinterpretation of Input in golang.org/x/net,Supply Chain,Medium,Open,golang.org/x/net,0.16.0,No Reachability Analysis,Transitive,CVE-2025-22870,0.02% (Low),,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/backend/go.mod#L38,https://semgrep.dev/findings/REDACTED-772939749,2026-05-02 16:08:06.840492,2026-05-02 16:08:06.827237,refs/heads/main,,,,Affected versions of golang.org/x/net are vulnerable to Improper Input Validation / Misinterpretation of Input.
772939748,Cross-site Scripting in golang.org/x/net,Supply Chain,Medium,Open,golang.org/x/net,0.16.0,No Reachability Analysis,Transitive,CVE-2025-22872,0.12% (Low),,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/backend/go.mod#L38,https://semgrep.dev/findings/REDACTED-772939748,2026-05-02 16:08:06.840475,2026-05-02 16:08:06.827224,refs/heads/main,,,,Affected versions of golang.org/x/net are vulnerable to Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting').
772939747,Out-of-bounds Read in golang.org/x/crypto,Supply Chain,Medium,Open,golang.org/x/crypto,0.18.0,No Reachability Analysis,Direct,CVE-2025-47914,0.01% (Low),,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/backend/go.mod#L8,https://semgrep.dev/findings/REDACTED-772939747,2026-05-02 16:08:06.840458,2026-05-02 16:08:06.827205,refs/heads/main,,,,Affected versions of golang.org/x/crypto are vulnerable to Out-of-bounds Read.
772939746,Allocation of Resources Without Limits or Throttling in golang.org/x/crypto,Supply Chain,Medium,Open,golang.org/x/crypto,0.18.0,No Reachability Analysis,Direct,CVE-2025-58181,0.05% (Low),,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/backend/go.mod#L8,https://semgrep.dev/findings/REDACTED-772939746,2026-05-02 16:08:06.840441,2026-05-02 16:08:06.827169,refs/heads/main,,,,Affected versions of golang.org/x/crypto are vulnerable to Allocation of Resources Without Limits or Throttling.
772939745,Exposure of Sensitive Information to an Unauthorized Actor in vite,Supply Chain,Medium,Open,vite,5.4.21,No Reachability Analysis,Direct,CVE-2026-39365,1.15% (Low),,Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit,https://github.com/Agent-AI-Chalmers/raddit/blob/d88a43e084303c95b69cab0a612bcfb67a1e053b/frontend/package-lock.json#L1693,https://semgrep.dev/findings/REDACTED-772939745,2026-05-02 16:08:06.840400,2026-05-02 16:08:06.827088,refs/heads/main,,,,Affected versions of vite are vulnerable to Exposure of Sensitive Information to an Unauthorized Actor / Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal').
