Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Semgrep Autotriage Result,Semgrep Autotriage Reason,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
772975681,python.flask.db.generic-sql-flask.generic-sql-flask,Code,Critical,Open,High,security,False,True positive,,User Authentication,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/auth.py#L54,https://semgrep.dev/findings/REDACTED-772975681,2026-05-02 18:49:10.870222,2026-05-02 18:49:10.845528,refs/heads/main,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. The driver API has the ability to bind parameters to the query in a safe way. Make sure not to dynamically create SQL queries from user-influenced inputs. If you cannot avoid this, either escape the data properly or create an allowlist to check the value."
772975680,python.flask.db.generic-sql-flask.generic-sql-flask,Code,Critical,Open,High,security,False,True positive,,,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/posts.py#L38,https://semgrep.dev/findings/REDACTED-772975680,2026-05-02 18:49:10.870205,2026-05-02 18:49:10.845523,refs/heads/main,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. The driver API has the ability to bind parameters to the query in a safe way. Make sure not to dynamically create SQL queries from user-influenced inputs. If you cannot avoid this, either escape the data properly or create an allowlist to check the value."
772975679,python.flask.db.generic-sql-flask.generic-sql-flask,Code,Critical,Open,High,security,False,True positive,,User Authorization,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/users.py#L86,https://semgrep.dev/findings/REDACTED-772975679,2026-05-02 18:49:10.870188,2026-05-02 18:49:10.845517,refs/heads/main,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. The driver API has the ability to bind parameters to the query in a safe way. Make sure not to dynamically create SQL queries from user-influenced inputs. If you cannot avoid this, either escape the data properly or create an allowlist to check the value."
772975678,python.django.security.injection.tainted-sql-string.tainted-sql-string,Code,High,Open,Low,security,False,,,User Authentication,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/auth.py#L48,https://semgrep.dev/findings/REDACTED-772975678,2026-05-02 18:49:10.870172,2026-05-02 18:49:10.845512,refs/heads/main,,,,"Detected user input used to manually construct a SQL string. This is usually bad practice because manual construction could accidentally result in a SQL injection. An attacker could use a SQL injection to steal or modify contents of the database. Instead, use a parameterized query which is available by default in most database engines. Alternatively, consider using the Django object-relational mappers (ORM) instead of raw SQL queries."
772975677,python.flask.deserialization.tainted-pickle-flask.tainted-pickle-flask,Code,High,Open,High,security,False,True positive,,Superuser,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/settings.py#L96,https://semgrep.dev/findings/REDACTED-772975677,2026-05-02 18:49:10.870155,2026-05-02 18:49:10.845506,refs/heads/main,,,,"The application may convert user-controlled data into an object, which can lead to an insecure deserialization vulnerability. An attacker can create a malicious serialized object, pass it to the application, and take advantage of the deserialization process to perform Denial-of-service (DoS), Remote code execution (RCE), or bypass access control measures. The C implementations of the `pickle` module, called `cPickle` or `_pickle`, are also considered insecure."
772975676,python.flask.net.tainted-flask-http-request-requests.tainted-flask-http-request-requests,Code,High,Open,Medium,security,False,True positive,,Superuser,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/settings.py#L72,https://semgrep.dev/findings/REDACTED-772975676,2026-05-02 18:49:10.870138,2026-05-02 18:49:10.845500,refs/heads/main,,,,"Untrusted input might be used to build an HTTP request, which can lead to a Server-side request forgery (SSRF) vulnerability. SSRF allows an attacker to send crafted requests from the server side to other internal or external systems. SSRF can lead to unauthorized access to sensitive data and, in some cases, allow the attacker to control applications or systems that trust the vulnerable service. To prevent this vulnerability, avoid allowing user input to craft the base request. Instead, treat it as part of the path or query parameter and encode it appropriately. When user input is necessary to prepare the HTTP request, perform strict input validation. Additionally, whenever possible, use allowlists to only interact with expected, trusted domains."
772975675,python.flask.os.tainted-os-command-stdlib-flask-secure-default.tainted-os-command-stdlib-flask-secure-default,Code,High,Open,High,security,False,True positive,,,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/media.py#L118,https://semgrep.dev/findings/REDACTED-772975675,2026-05-02 18:49:10.870122,2026-05-02 18:49:10.845495,refs/heads/main,,,,"Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system.
To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the input, and use safe methods for executing the commands.
Untrusted input in a command can lead to command injection,
allowing attackers to execute arbitrary commands and gain
control of the system. To prevent this:

1. Avoid direct command execution: Don't run OS commands
with user input directly.
2. Validate and sanitize input: Ensure input is safe by
removing or escaping dangerous characters.
3. (preferred) Use safe methods: Use `subprocess.run`
without `shell=True` to safely execute commands, as it
doesn't call a system shell by default. If `shell=True`
is necessary, properly quote and escape all input to prevent
shell injection. This is a secure by default approach.
"
772975674,python.flask.security.injection.subprocess-injection.subprocess-injection,Code,High,Open,High,security,False,True positive,,,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/media.py#L118,https://semgrep.dev/findings/REDACTED-772975674,2026-05-02 18:49:10.870105,2026-05-02 18:49:10.845489,refs/heads/main,,,,"Detected user input entering a `subprocess` call unsafely. This could result in a command injection vulnerability. An attacker could use this vulnerability to execute arbitrary commands on the host, which allows them to download malware, scan sensitive data, or run any command they wish on the server. Do not let users choose the command to run. In general, prefer to use Python API versions of system commands. If you must use subprocess, use a dictionary to allowlist a set of commands."
772975673,python.flask.security.injection.tainted-sql-string.tainted-sql-string,Code,High,Open,Medium,security,False,True positive,,User Authentication,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/auth.py#L48,https://semgrep.dev/findings/REDACTED-772975673,2026-05-02 18:49:10.870088,2026-05-02 18:49:10.845483,refs/heads/main,,,,"Detected user input used to manually construct a SQL string. This is usually bad practice because manual construction could accidentally result in a SQL injection. An attacker could use a SQL injection to steal or modify contents of the database. Instead, use a parameterized query which is available by default in most database engines. Alternatively, consider using an object-relational mapper (ORM) such as SQLAlchemy which will protect your queries."
772975672,python.flask.xml.tainted-flask-xml-lxml.tainted-flask-xml-lxml,Code,High,Open,High,security,False,True positive,,Superuser,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/settings.py#L128,https://semgrep.dev/findings/REDACTED-772975672,2026-05-02 18:49:10.870072,2026-05-02 18:49:10.845478,refs/heads/main,,,,"The application is using an XML parser that has not been safely configured. This might lead to XML External Entity (XXE) vulnerabilities when parsing user-controlled input. An attacker can include document type definitions (DTDs) or XIncludes which can interact with internal or external hosts. XXE can lead to other vulnerabilities, such as Local File Inclusion (LFI), Remote Code Execution (RCE), and Server-side request forgery (SSRF), depending on the application configuration. An attacker can also use DTDs to expand recursively, leading to a Denial-of-Service (DoS) attack, also known as a `Billion Laughs Attack`. The best defense against XXE is to have an XML parser that supports disabling DTDs. Limiting the use of external entities from the start can prevent the parser from being used to process untrusted XML files. Reducing dependencies on external resources is also a good practice for performance reasons. It is difficult to guarantee that even a trusted XML file on your server or during transmission has not been tampered with by a malicious third-party."
