Id,Rule Name,Product,Severity,Status,Dependency,Version,Reachability,Transitivity,Cve,Epss,Semgrep File Risk Tag,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
772975653,Improper Access Control in flask-cors,Supply Chain,High,Open,flask-cors,4.0.1,Reachable,Unknown,CVE-2024-6221,0.64% (Low),,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/app.py#L12,https://semgrep.dev/findings/REDACTED-772975653,2026-05-02 18:49:08.571760,2026-05-02 18:49:08.558405,refs/heads/main,,,,"Affected versions of Flask-Cors are vulnerable to Improper Access Control. The private network cors header, `Access-Control-Allow-Private-Network` is always sent with the value true, without any option to configure it. This behavior can potentially expose private network resources to unauthorized external access, leading to significant security risks."
772975652,Insufficient Verification of Data Authenticity in pyjwt,Supply Chain,High,Open,pyjwt,2.8.0,Reachable,Unknown,CVE-2026-32597,0.01% (Low),User Authentication,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/routes/auth.py#L25,https://semgrep.dev/findings/REDACTED-772975652,2026-05-02 18:49:08.571743,2026-05-02 18:49:08.558395,refs/heads/main,,,,"Affected versions of PyJWT are vulnerable to Incorrect Authorization / Insufficient Verification of Data Authenticity. PyJWT's JWS decoder does not enforce RFC 7515 `crit` (Critical) header handling: tokens that declare unknown critical header extensions in `crit` are accepted instead of being rejected. This can enable JWT policy/authorization bypass in deployments that rely on `crit`-signaled requirements (e.g., MFA/token binding/PoP such as `cnf`), and can cause ""split-brain"" verification where RFC-compliant components reject a token but PyJWT accepts it."
772975650,Path Traversal in werkzeug,Supply Chain,Medium,Open,werkzeug,3.0.3,No Reachability Analysis,Unknown,CVE-2024-49766,1.39% (Low),,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/requirements.txt#L4,https://semgrep.dev/findings/REDACTED-772975650,2026-05-02 18:49:08.571709,2026-05-02 18:49:08.558371,refs/heads/main,,,,Affected versions of Werkzeug are vulnerable to Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal').
772975649,Uncontrolled Resource Consumption in quart,Supply Chain,Medium,Open,werkzeug,3.0.3,No Reachability Analysis,Unknown,CVE-2024-49767,1.09% (Low),,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/requirements.txt#L4,https://semgrep.dev/findings/REDACTED-772975649,2026-05-02 18:49:08.571692,2026-05-02 18:49:08.558359,refs/heads/main,,,,Affected versions of Quart and Werkzeug are vulnerable to Uncontrolled Resource Consumption.
772975648,Improper Handling of Case Sensitivity in flask-cors,Supply Chain,Medium,Open,flask-cors,4.0.1,No Reachability Analysis,Unknown,CVE-2024-6866,0.07% (Low),,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/requirements.txt#L2,https://semgrep.dev/findings/REDACTED-772975648,2026-05-02 18:49:08.571674,2026-05-02 18:49:08.558348,refs/heads/main,,,,Affected versions of flask-cors are vulnerable to Improper Handling of Case Sensitivity.
772975647,Improper Resolution of Path Equivalence in flask-cors,Supply Chain,Medium,Open,flask-cors,4.0.1,No Reachability Analysis,Unknown,CVE-2024-6839,0.47% (Low),,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/requirements.txt#L2,https://semgrep.dev/findings/REDACTED-772975647,2026-05-02 18:49:08.571658,2026-05-02 18:49:08.558336,refs/heads/main,,,,Affected versions of flask-cors are vulnerable to Improper Resolution of Path Equivalence.
772975646,Origin Validation Error in flask-cors,Supply Chain,Medium,Open,flask-cors,4.0.1,No Reachability Analysis,Unknown,CVE-2024-6844,0.11% (Low),,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/requirements.txt#L2,https://semgrep.dev/findings/REDACTED-772975646,2026-05-02 18:49:08.571640,2026-05-02 18:49:08.558323,refs/heads/main,,,,Affected versions of flask-cors are vulnerable to Origin Validation Error.
772975645,Insufficiently Protected Credentials in requests,Supply Chain,Medium,Open,requests,2.32.3,No Reachability Analysis,Unknown,CVE-2024-47081,0.21% (Low),,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/requirements.txt#L5,https://semgrep.dev/findings/REDACTED-772975645,2026-05-02 18:49:08.571623,2026-05-02 18:49:08.558311,refs/heads/main,,,,Affected versions of requests are vulnerable to Insufficiently Protected Credentials.
772975644,Improper Handling of Windows Device Names in werkzeug,Supply Chain,Medium,Open,werkzeug,3.0.3,No Reachability Analysis,Unknown,CVE-2025-66221,0.03% (Low),,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/requirements.txt#L4,https://semgrep.dev/findings/REDACTED-772975644,2026-05-02 18:49:08.571606,2026-05-02 18:49:08.558297,refs/heads/main,,,,Affected versions of werkzeug are vulnerable to Improper Handling of Windows Device Names.
772975643,Improper Handling of Windows Device Names in werkzeug,Supply Chain,Medium,Open,werkzeug,3.0.3,No Reachability Analysis,Unknown,CVE-2026-21860,0.02% (Low),,Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress,https://github.com/Agent-AI-Chalmers/worldpress/blob/0ed062884b643b6143e0ef0c75ba079853cdc371/backend/requirements.txt#L4,https://semgrep.dev/findings/REDACTED-772975643,2026-05-02 18:49:08.571588,2026-05-02 18:49:08.558284,refs/heads/main,,,,Affected versions of Werkzeug are vulnerable to Improper Handling of Windows Device Names.
